日本百名橋,10,十綱橋,37.8305555,140.4552777,,福島県福島市
日本百名橋,11,水府橋,36.3772222,140.4813888,,茨城県水戸市
日本百名橋,12,日光 神橋,36.7533333,139.6041666,2024-08-29,栃木県日光市
日本百名橋,13,大渡橋,36.4066666,139.05,,群馬県前橋市
日本百名橋,14,碓氷第三橋梁（めがね橋）,36.3580555,138.6983333,,群馬県安中市
日本百名橋,15,秩父橋,36.0180555,139.0861111,,埼玉県秩父市
日本百名橋,16,水郷大橋,35.9083333,140.4908333,,千葉県香取市
日本百名橋,17,四谷見付橋,35.6858333,139.7305555,xxxx-xx-xx,東京都新宿区
日本百名橋,18,氷川大橋,35.8075,139.0963888,2021-11-13,東京都奥多摩町
日本百名橋,19,千住大橋,35.73940446996005, 139.7975266253993,xxxx-xx-xx,東京都足立区・東京都荒川区
日本百名橋,20,両国橋,35.6941666,139.7888888,xxxx-xx-xx,東京都墨田区
日本百名橋,21,常盤橋,35.6852777,139.7708333,xxxx-xx-xx,東京都中央区
日本百名橋,22,日本橋,35.6838888,139.7744444,xxxx-xx-xx,東京都中央区
日本百名橋,23,永代橋,35.6763888,139.7875,,東京都中央区
日本百名橋,24,二重橋,35.68,139.7547222,xxxx-xx-xx,東京都千代田区
日本百名橋,25,八幡橋（弾正橋）,35.6719444,139.8005555,,東京都江東区
日本百名橋,26,横浜ベイブリッジ,35.4547222,139.6741666,2022-11-06,神奈川県横浜市中区
日本百名橋,27,六郷橋,35.5363888,139.7083333,2021-01-30,神奈川県川崎市多摩区
日本百名橋,28,馬入橋,35.3319444,139.3669444,2022-12-24,神奈川県平塚市
日本百名橋,29,万代橋,37.9197222,139.0530555,2025-02-26,新潟県新潟市中央区
日本百名橋,30,直江津橋,37.1744444,138.2486111,,新潟県上越市
日本百名橋,31,愛本橋,36.8602777,137.5538888,,富山県黒部市
日本百名橋,32,越中 舟橋,36.6944444,137.2075,,富山県富山市
日本百名橋,33,犀川大橋,36.5586111,136.6502777,,石川県金沢市
日本百名橋,34,九十九橋,36.0630555,136.2113888,,福井県福井市
日本百名橋,35,甲斐の猿橋,35.6152777,138.9813888,,山梨県大月市
日本百名橋,36,中津橋,36.2708333,138.4180555,,長野県佐久市
日本百名橋,37,桃介橋,35.6005555,137.6061111,,長野県南木曽町
日本百名橋,38,中橋,36.14,137.2591666,,岐阜県高山市
日本百名橋,39,永保寺、無際橋,35.3466666,137.13,,岐阜県多治見市
日本百名橋,40,長良大橋,35.3619444,136.6886111,xxxx-xx-xx,岐阜県岐阜市
日本百名橋,41,富士川橋,35.155,138.6241666,,静岡県富士市
日本百名橋,42,大井川橋,34.8316666,138.1455555,,静岡県島田市
日本百名橋,43,浜名橋,34.6936111,137.5869444,,静岡県湖西市
日本百名橋,44,矢作橋,34.9594444,137.1497222,,愛知県岡崎市
日本百名橋,45,納屋橋,35.1677777,136.8922222,,愛知県名古屋市中区
日本百名橋,46,枇杷島橋,35.1922222,136.8675,,愛知県清須市
日本百名橋,47,伊勢 宇治橋,34.4586111,136.7233333,2017-03-28,三重県伊勢市
日本百名橋,48,瀬田唐橋,34.9730555,135.9066666,,滋賀県大津市
日本百名橋,49,大宮橋,35.0716666,135.8622222,,滋賀県大津市
日本百名橋,50,三条大橋,35.0091666,135.7716666,xxxx-xx-xx,京都府京都市中京区
日本百名橋,51,五条大橋,34.9955555,135.7677777,xxxx-xx-xx,京都府京都市下京区
日本百名橋,52,上賀茂神社 橋殿,35.0597222,135.7527777,,京都府京都市北区
日本百名橋,53,渡月橋,35.0127777,135.6777777,,京都府京都市西京区
日本百名橋,54,東福寺 偃月橋,34.9766666,135.7738888,,京都府京都市東山区
日本百名橋,55,宇治橋,34.8930555,135.8061111,,京都府宇治市
日本百名橋,56,上津屋橋（流れ橋）,34.8686111,135.7483333,,京都府八幡市
日本百名橋,57,泉大橋,34.7430555,135.8216666,,京都府木津川市
日本百名橋,58,長柄橋,34.7211111,135.51,,大阪府大阪市北区、東淀川区
日本百名橋,59,難波橋,34.6927777,135.5072222,,大阪府大阪市中央区
日本百名橋,60,高麗橋,34.6891666,135.5097222,,大阪府大阪市中央区
日本百名橋,61,淀屋橋,34.6930555,135.5011111,2019-09-11,大阪府大阪市中央区
日本百名橋,62,心斎橋,34.6744444,135.5002777,,大阪府大阪市中央区
日本百名橋,63,住吉の反橋,34.6125,135.4930555,,大阪府大阪市住吉区
日本百名橋,64,明石海峡大橋,34.6177777,135.0222222,2022-08-22,兵庫県明石市
日本百名橋,65,餘部橋梁（余部鉄橋）,35.6494444,134.5597222,,兵庫県香美町
日本百名橋,66,神子畑橋,35.2425,134.7172222,,兵庫県朝来市
日本百名橋,67,武庫大橋,34.7319444,135.38,,兵庫県西宮市
日本百名橋,68,谷瀬の吊橋,34.1016666,135.7627777,,奈良県十津川村
日本百名橋,69,不老橋（三断橋）,34.1866666,135.1727777,,和歌山県和歌山市
日本百名橋,70,智頭橋,35.4994444,134.2280555,,鳥取県鳥取市
日本百名橋,71,松江大橋,35.4677777,133.0552777,,島根県松江市
日本百名橋,72,瀬戸大橋,34.4305555,133.8058333,2017-03-12,岡山県倉敷市
日本百名橋,73,京橋,34.6580555,133.9330555,,岡山県岡山市
